#miRNA	di1	di2	di3	dt1	dt2	dt3	mi1	mi2	mi3	mt1	mt2	mt3	wi1	wi2	wt1	wt2	ic1	tc1	tw1	tp1	tw2	tp2	tw3	tp3	ew1	ep1	ew2	ep2	ew3	ep3
mmu-miR-148a-3p	404	256	309	195	323	194	106	75	82	94	70	84	30	66	36	48	49	48	32	12	1	21	7	60	8	58	4	54	2	25
mmu-miR-148b-5p	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	1
mmu-miR-148b-3p	32	18	27	21	27	21	12	5	9	7	4	3	1	5	20	14	5	6	14	7	4	3	2	28	9	30	13	19	3	8
mmu-miR-149-5p	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24	8	1	7	5	16	2	2	2	5	0	6
mmu-miR-149-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-150-5p	3	1	2	0	0	0	0	5	2	1	0	0	0	1	0	0	0	1	5	0	0	0	0	0	54	380	22	279	21	150
mmu-miR-150-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	3
mmu-miR-151-5p	17	23	11	25	34	38	3	0	5	15	9	5	4	5	14	15	5	6	33	18	11	19	6	31	3	27	2	10	7	13
mmu-miR-151-3p	1	1	5	3	7	2	0	0	0	0	1	1	0	0	2	1	2	0	49	10	8	13	7	18	7	27	4	11	2	8
mmu-miR-152-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-152-3p	24	33	36	1	2	2	2	2	7	0	0	0	0	1	1	1	1	0	34	4	9	19	12	20	0	0	1	0	0	2
mmu-miR-153-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-153-3p	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	3	0	1	0	2	0	1
mmu-miR-154-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	7	11	0	12	3	3
mmu-miR-154-3p	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	18	0	1	0	3	1	39	91	39	68	45	27
mmu-miR-155-5p	5	0	0	0	1	1	1	2	2	0	0	7	0	2	0	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0
mmu-miR-155-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-15a-5p	24	21	15	20	28	19	9	1	2	8	3	3	0	3	9	12	8	1	4	0	1	1	2	3	2	5	1	2	1	1
mmu-miR-15a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	2	3	4	1	3	1	0	1	1	2
mmu-miR-15b-5p	16	14	11	9	13	0	3	7	5	3	0	2	0	11	1	12	21	14	6	2	3	7	0	11	17	112	7	68	9	43
mmu-miR-15b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	21	6	0	9	3	23	15	56	5	56	8	20
mmu-miR-16-1-3p	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	29	0	2	1	2	6	1	1	1	5	2	0
mmu-miR-16-2-3p	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	0	5	1	11	9	23	1	18	3	11
mmu-miR-1668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-17-5p	25	25	15	16	31	31	3	3	0	5	2	1	11	19	10	7	15	5	1283	328	169	512	218	1215	428	995	365	925	417	424
mmu-miR-17-3p	5	1	3	3	2	0	0	0	0	0	0	0	0	0	0	2	4	0	27	19	8	22	3	24	9	10	6	19	4	8
mmu-miR-181a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-181a-2-3p	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-181b-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-181b-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-181c-5p	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	3	32	8	5	24	4	25	36	65	20	57	28	26
mmu-miR-181c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
mmu-miR-181d-5p	3	0	0	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	3	5	1	1	1	1	2	12	2	12	4	6
mmu-miR-181d-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	1
mmu-miR-182-5p	360	232	415	287	395	318	56	53	29	99	104	84	64	169	215	240	286	113	136	14	19	35	16	73	14	66	9	40	4	19
mmu-miR-182-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	2	5	0	4	3	5	2	0	2	3
mmu-miR-183-5p	202	134	193	117	195	126	15	26	7	23	32	13	30	54	92	81	106	62	550	114	96	188	125	677	79	434	42	378	65	208
mmu-miR-183-3p	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	23	4	3	5	3	33	4	15	2	20	0	11
mmu-miR-1839-5p	16	8	5	0	5	3	0	1	3	5	0	5	0	0	0	0	3	2	13	1	1	4	3	2	1	8	0	4	0	1
mmu-miR-1839-3p	4	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	2	0	6	0	3	1	0	2	0
mmu-miR-184-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-184-3p	0	0	1	0	1	0	0	0	1	1	0	2	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-1843a-5p	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
mmu-miR-1843a-3p	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1843b-5p	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
mmu-miR-1843b-3p	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1
mmu-miR-185-5p	6	4	16	8	5	9	4	1	1	0	0	3	1	1	4	2	5	8	34	7	6	6	4	6	4	9	3	6	5	3
mmu-miR-185-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-186-5p	10	17	6	4	13	6	0	0	1	2	4	1	5	10	9	8	14	8	79	12	12	26	17	54	21	58	16	39	23	20
mmu-miR-186-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0
mmu-miR-187-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-187-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	5	1	1	0	1	0	0	0	0
mmu-miR-188-5p	1	2	4	2	3	2	0	0	0	0	0	0	0	1	0	0	0	0	58	18	12	18	15	11	2	0	1	0	1	0
mmu-miR-188-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	2	0	1	0	0	0	1	0	0
mmu-miR-1892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1894-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1894-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1895	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0
mmu-miR-1896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1897-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1897-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-18a-5p	23	1	7	6	9	4	0	0	2	0	4	0	8	10	2	6	2	0	51	10	3	18	7	70	55	179	40	136	45	60
mmu-miR-18a-3p	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	1	2	0	1	1	3	2	2	1	2	4	4
mmu-miR-18b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	1	6	5	1
mmu-miR-18b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	6	1	10
mmu-miR-1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-190a-5p	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	5	0	3	1	1	8	11	23	6	14	5	14
mmu-miR-190a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	5	0	4
mmu-miR-190b-5p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-190b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
mmu-miR-191-5p	110	81	73	75	65	80	18	10	18	20	15	14	34	36	49	33	86	38	719	181	147	338	170	773	257	726	119	560	102	319
mmu-miR-191-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	1	4	2	10	1	1	0	1
mmu-miR-1911-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1911-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1912-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1912-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-192-5p	43	36	20	7	25	14	4	4	5	5	2	7	3	5	12	7	17	11	4	4	1	5	0	7	3	13	4	6	4	1
mmu-miR-192-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
mmu-miR-1927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1929-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1929-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1930-5p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1930-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1933-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1933-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1934-5p	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-1934-3p	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-193a-5p	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	17	1	0	1	2	2	0	1	0	0	0	1
mmu-miR-193a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	4	1	0	0	0	1	0	0
mmu-miR-193b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-193b-3p	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	3	1	1	0	0	0	0	0
mmu-miR-194-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-194-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1941-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1941-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1943-5p	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1943-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
mmu-miR-1945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1946a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	1	2	0	1	4	0	2	0	1
mmu-miR-1946b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	4	1	0	0	1
mmu-miR-1947-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1947-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1948-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1948-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1949	0	0	0	0	3	0	0	2	0	0	1	0	0	0	2	0	0	0	55	0	8	3	9	7	14	314	8	265	11	160
mmu-miR-1950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1955-5p	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1
mmu-miR-1955-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-195a-5p	0	3	0	0	0	0	2	0	1	3	0	0	0	0	0	0	1	0	3	0	0	1	1	1	2	16	2	8	2	6
mmu-miR-195a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	1	0	0	1	0
mmu-miR-195b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1964-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1964-3p	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1966-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1966-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1968-5p	3	0	2	2	0	0	0	0	0	0	0	0	0	0	3	2	7	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1968-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-1969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-196a-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	1	1
mmu-miR-196a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-196b-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	5	0	3	0	1	0	2	0	2
mmu-miR-196b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1970b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-1970c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1970c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1981-5p	26	11	18	5	24	14	0	0	0	0	1	0	1	2	3	6	2	0	5	0	2	1	1	1	0	0	0	0	0	0
mmu-miR-1981-3p	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	1	1	2	6	0	2	0	0	0	0
mmu-miR-1982-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1982-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1983	5	3	0	1	3	1	1	0	0	0	0	0	0	0	1	1	4	1	1371	70	144	117	147	377	70	89	48	65	41	26
mmu-miR-199b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	2	0	1	0	0	0	0	0	0	0
mmu-miR-199b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-19a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
mmu-miR-19a-3p	1	7	6	4	3	4	0	1	3	0	0	1	4	1	0	4	1	4	958	265	79	315	107	1409	826	5295	794	4280	645	1764
mmu-miR-19b-1-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	1	2	0	1	0	9	3	4	3	0
mmu-miR-19b-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	3	2
mmu-miR-1a-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1a-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-1b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-200a-5p	2	0	1	0	9	2	0	0	0	0	0	0	0	1	0	2	1	0	5	0	0	0	0	3	0	6	2	5	1	3
mmu-miR-200a-3p	107	95	59	97	269	134	28	8	19	29	19	32	1	16	47	58	34	5	44	20	16	20	6	24	3	36	1	27	7	3
mmu-miR-200b-5p	9	10	5	11	16	4	0	0	1	3	2	14	0	0	9	5	7	0	7	0	1	1	0	0	0	5	0	7	1	4
mmu-miR-200b-3p	266	153	147	275	605	324	72	30	38	96	48	63	9	34	147	143	166	15	13	3	4	3	8	29	3	49	4	46	8	26
mmu-miR-200c-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1
mmu-miR-200c-3p	802	517	489	682	968	785	162	85	94	219	175	170	47	88	237	257	289	97	9	7	1	11	0	23	2	31	2	23	3	20
mmu-miR-201-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-201-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-202-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-202-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-203-5p	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
mmu-miR-203-3p	41	37	37	34	86	84	13	35	748	43	28	22	8	18	21	37	25	9	241	13	40	17	65	64	1	12	2	10	1	5
mmu-miR-203b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-203b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-204-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-204-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-205-5p	47	15	9	9	25	2	9	5	156	13	6	15	0	8	16	16	22	3	11	5	4	3	7	19	13	35	5	32	7	38
mmu-miR-205-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-206-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-206-3p	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-208a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-208a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
